Country,Rank,Account,Title,Link,Subscribers count,Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
All,-1.397066642932686,isaiahgarza,Isaiah Garza,https://www.tiktok.com/@isaiahgarza,0.023069762806373798,0.5959199788750713,0.9278989016981913,0.018149157698684686,-0.0445906458958168,2022-02-07 16:54:35.641971
All,-1.3936042720703992,lyrico__,ʟʏʀɪᴄᴏ,https://www.tiktok.com/@lyrico__,-0.390812045656979,-0.14921053277671203,-0.12095277082788106,0.2370479656913916,0.19978807029318335,2022-02-07 16:54:35.641971
All,-1.3901419012081124,00h.88m,Gui,https://www.tiktok.com/@00h.88m,-0.4184041662212026,0.12755222869395033,0.21330139667940112,-0.26513165264481836,0.04839247538585154,2022-02-07 16:54:35.641971
All,-1.3866795303458257,pinchulli,Ирина Пинчук,https://www.tiktok.com/@pinchulli,-0.4551936603068339,0.3617361037845108,0.16204334779619675,-0.3295136549956145,0.029915060259366168,2022-02-07 16:54:35.641971
All,-1.3832171594835392,soydekko,Soydekko,https://www.tiktok.com/@soydekko,-0.24365406931445358,0.44689387654471463,0.9278989016981913,0.4044411718034616,-0.05857983728351396,2022-02-07 16:54:35.641971
All,-1.3797547886212524,thebenjishowfr,benji,https://www.tiktok.com/@thebenjishowfr,-0.17007508114319086,0.3617361037845108,0.378705520806716,0.056778359109162374,-0.016576500381468007,2022-02-07 16:54:35.641971
All,-1.3762924177589657,thelivingtombstone,The Living Tombstone,https://www.tiktok.com/@thelivingtombstone,-0.5379700219995045,0.04239445593374653,0.6535175812057444,0.5847107783856909,-0.035053915507953386,2022-02-07 16:54:35.641971
All,-1.372830046896679,_monaalawi,mona,https://www.tiktok.com/@_monaalawi,0.38176733014127956,0.7875249675855298,0.7158312876912085,0.005272757228525453,-0.049359011089748515,2022-02-07 16:54:35.641971
All,-1.3693676760343922,uncletics,Uncle Tics,https://www.tiktok.com/@uncletics,-0.30803568396430847,0.02110501274369558,-0.033799729729547597,-0.16212044888354454,0.0984603099221345,2022-02-07 16:54:35.641971
All,-1.3659053051721055,soojinicoreana,Chingu Amiga,https://www.tiktok.com/@soojinicoreana,0.8692281267758951,0.8088144107755808,1.0714788705587077,-0.0977384465327484,-0.05353133063443876,2022-02-07 16:54:35.641971
All,-1.3624429343098188,agc.andy,andy,https://www.tiktok.com/@agc.andy,-0.4276015397426104,-0.04276331682645727,0.5703847792355053,0.28855356757202855,-0.00763581564284605,2022-02-07 16:54:35.641971
All,-1.358980563447532,dima_maslen,Дмитрий Масленников,https://www.tiktok.com/@dima_maslen,-0.23445669579304573,0.4894727629248165,0.2797789222618202,0.7521039844977608,-0.0511471480374729,2022-02-07 16:54:35.641971
All,-1.3555181925852455,girlsontop_sm,Girls On Top,https://www.tiktok.com/@girlsontop_sm,-0.5563647690423201,0.23399944464420508,0.784318932837675,0.17266596334059545,-0.04161041764960948,2022-02-07 16:54:35.641971
All,-1.3520558217229588,nicocaponecomedy,nicocapone.comedy,https://www.tiktok.com/@nicocaponecomedy,1.0899650912896832,1.1920243881964978,0.09068410327252012,-0.21362605076418145,-0.021344865575399715,2022-02-07 16:54:35.641971
All,-1.348593450860672,mrbeast,MrBeast,https://www.tiktok.com/@mrbeast,2.377597384286781,0.12755222869395033,0.27058980425474716,1.1512723990726972,-0.04399460024657534,2022-02-07 16:54:35.641971
All,-1.3451310799983853,selinamichelle96,selinamichelle96,https://www.tiktok.com/@selinamichelle96,-0.64645304268451,-0.04276331682645727,0.28279410160789104,-0.187873249823863,0.03885574499798812,2022-02-07 16:54:35.641971
All,-1.3416687091360986,billlnai,nai,https://www.tiktok.com/@billlnai,0.11504349802045229,0.276578331024307,1.0714788705587077,0.04390195863900315,-0.04518669154505826,2022-02-07 16:54:35.641971
All,-1.3382063382738119,give_my_oscar,give_my_oscar,https://www.tiktok.com/@give_my_oscar,-0.5690479471283416,0.04239445593374653,0.24862206901908815,-0.23937885170449993,0.029915060259366168,2022-02-07 16:54:35.641971
All,-1.3347439674115251,piperrockelle,Piperrockelle,https://www.tiktok.com/@piperrockelle,0.10584612449904428,0.12755222869395033,0.10532926009629279,1.60194641552827,-0.04757087414202412,2022-02-07 16:54:35.641971
All,-1.3312815965492386,amauryguichon,Amaury Guichon,https://www.tiktok.com/@amauryguichon,-0.4184041662212026,0.42560443335466364,0.31409453481948363,-0.0076036432416337766,-0.02194091122464118,2022-02-07 16:54:35.641971
All,-1.3278192256869519,sofarsabi,SOFARSABI,https://www.tiktok.com/@sofarsabi,-0.1792724546645987,0.5107622061148674,0.43340948894257275,0.39156477133330236,-0.05412737628368022,2022-02-07 16:54:35.641971
All,-1.3243568548246651,joaoguilherme,joão guilherme tlg?,https://www.tiktok.com/@joaoguilherme,-0.0689039724077046,0.38302554697456176,0.3910533981287204,0.4559467736840985,-0.049359011089748515,2022-02-07 16:54:35.641971
All,-1.3208944839623784,c4tluvr666,kennedy,https://www.tiktok.com/@c4tluvr666,-0.4459962867854261,0.3404466605944598,0.9278989016981913,0.04390195863900315,-0.051743193686714366,2022-02-07 16:54:35.641971
All,-1.3174321131000917,zachking,Zach King,https://www.tiktok.com/@zachking,5.523099128608262,1.4687871496671603,0.36764986320445625,-0.17499684935370377,-0.05055110238823144,2022-02-07 16:54:35.641971
All,-1.313969742237805,ayesebastien,Sebastien,https://www.tiktok.com/@ayesebastien,-0.0045223577578497225,0.17013111507405224,0.37726972111811086,-0.08486204606258917,-0.01061604388905337,2022-02-07 16:54:35.641971
All,-1.3105073713755182,jake2r,"Jake2r, Ph.D.",https://www.tiktok.com/@jake2r,-0.48278578087105745,-0.17049997596676297,0.30547973668785267,-0.08486204606258917,0.037663653699505195,2022-02-07 16:54:35.641971
All,-1.3070450005132315,murda10k,MURDA10K,https://www.tiktok.com/@murda10k,-0.48278578087105745,-0.00018443044635537174,0.784318932837675,0.056778359109162374,-0.02849741336629728,2022-02-07 16:54:35.641971
All,-1.303582629650945,itssassagurl,Sassa Gurl,https://www.tiktok.com/@itssassagurl,-0.2252593222716379,0.12755222869395033,0.3043310969369685,0.35293556992282465,-0.022536956873882644,2022-02-07 16:54:35.641971
All,-1.3001202587886582,gingerbilly1,GingerBilly1,https://www.tiktok.com/@gingerbilly1,-0.1332855870575595,-0.19178941915681394,-0.18829177622346324,-0.20074965029402222,0.18190670081593943,2022-02-07 16:54:35.641971
All,-1.2966578879263715,beniju03,BENIJU,https://www.tiktok.com/@beniju03,-0.4551936603068339,0.10626278550389938,0.3240015526708593,0.8422387877888754,-0.04697482849278266,2022-02-07 16:54:35.641971
All,-1.2931955170640848,madisonpettis,Madison Pettis,https://www.tiktok.com/@madisonpettis,-0.4184041662212026,0.4043149901646127,0.7558900990032926,-0.187873249823863,-0.03922623505264363,2022-02-07 16:54:35.641971
