founded,employees,job_openings,FoundedYears,founded_binary,employees_binary,job_openings_binary
2017.0,692.0,1.0,6.0,2017.0,692.0,1.0
2011.0,877.0,8.57356076759062,12.0,2011.0,877.0,8.57356076759062
2012.5448798988623,841.0,8.57356076759062,,2012.5448798988623,841.0,8.57356076759062
2012.5448798988623,26.0,1.0,,2012.5448798988623,26.0,1.0
2018.0,898.0,1.0,5.0,2018.0,898.0,1.0
2013.0,721.0,1.0,10.0,2013.0,721.0,1.0
2016.0,267.0,33.0,7.0,2016.0,267.0,33.0
2012.5448798988623,66.0,1.0,,2012.5448798988623,66.0,1.0
2018.0,235.0,1.0,5.0,2018.0,235.0,1.0
2012.5448798988623,793.0,1.0,,2012.5448798988623,793.0,1.0
2006.0,107.0,1.0,17.0,2006.0,107.0,1.0
2015.0,148.0,19.0,8.0,2015.0,148.0,19.0
2005.0,87.0,1.0,18.0,2005.0,87.0,1.0
2016.0,110.0,1.0,7.0,2016.0,110.0,1.0
2020.0,226.0,1.0,3.0,2020.0,226.0,1.0
2012.5448798988623,122.0,1.0,,2012.5448798988623,122.0,1.0
2013.0,903.0,8.57356076759062,10.0,2013.0,903.0,8.57356076759062
2011.0,136.0,29.0,12.0,2011.0,136.0,29.0
2012.5448798988623,129.0,1.0,,2012.5448798988623,129.0,1.0
2021.0,33.0,1.0,2.0,2021.0,33.0,1.0
2012.5448798988623,183.0,1.0,,2012.5448798988623,183.0,1.0
2020.0,874.0,8.57356076759062,3.0,2020.0,874.0,8.57356076759062
2017.0,282.0,35.0,6.0,2017.0,282.0,35.0
2020.0,170.0,1.0,3.0,2020.0,170.0,1.0
2020.0,251.0,1.0,3.0,2020.0,251.0,1.0
2014.0,168.0,1.0,9.0,2014.0,168.0,1.0
2017.0,186.0,1.0,6.0,2017.0,186.0,1.0
1947.0,65.0,1.0,76.0,1947.0,65.0,1.0
2012.5448798988623,196.0,1.0,,2012.5448798988623,196.0,1.0
2012.5448798988623,265.0,1.0,,2012.5448798988623,265.0,1.0
2015.0,586.0,59.0,8.0,2015.0,586.0,59.0
2012.0,753.0,1.0,11.0,2012.0,753.0,1.0
1999.0,102.0,1.0,24.0,1999.0,102.0,1.0
2016.0,72.0,1.0,7.0,2016.0,72.0,1.0
2012.5448798988623,36.0,1.0,,2012.5448798988623,36.0,1.0
1994.0,627.0,1.0,29.0,1994.0,627.0,1.0
2013.0,967.0,1.0,10.0,2013.0,967.0,1.0
2012.5448798988623,192.0,1.0,,2012.5448798988623,192.0,1.0
2015.0,530.0,41.0,8.0,2015.0,530.0,41.0
2020.0,46.0,1.0,3.0,2020.0,46.0,1.0
2014.0,890.0,1.0,9.0,2014.0,890.0,1.0
2017.0,213.0,1.0,6.0,2017.0,213.0,1.0
1998.0,722.0,1.0,25.0,1998.0,722.0,1.0
